SH01Ex ,SH01Ex2,SH01Ex3,SH01Tr ,SH01Tr2,SH01Tr3,SH01Fu,SH01Fu2,SH02Ex,SH02Ex2,SH02Tr2,SH02Fu,SH03Ex,SH03Ex2,SH03Ex3,SH03Ex4,SH03Tr2,SH03Tr3,SH03Fu,SH03Fu2,SH03Fu3,SH03Fu4,SH05Ex,SH05Ex2,SH05Tr,SH05Tr2,SH05Fu,SH05Fu2,SH06Ex,SH06Tr,SH06Fu,SH07Ex,SH07Ex2,SH07Tr,SH07Tr2,SH07Fu,SH07Fu2,SH08Ex,SH08Ex2,SH08Tr2,SH08Tr,SH08Fu,SH09Ex,SH09Ex2,SH09Ex3,SH09Tr,SH09Tr2,SH09Fu,SH09Fu2,SH09Fu3,SH10Ex2,SH10Ex3,SH10Tr2,SH10Tr3,SH10Fu2,SH10Fu3,SH11Ex,SH11Ex2,SH11Ex3,SH11Tr,SH11Tr2,SH11Tr3,SH11Fu,SH11Fu2,SH11Fu3,SH12Ex,SH12Ex2,SH12Ex3,SH12Ex4,SH12Tr,SH12Tr2,SH12Fu2,SH12Fu3,SH12Fu4,SH13Ex,SH13Tr,SH13Fu,SH14Ex,SH14Fu,SH15Ex,SH15Ex2,SH15Tr,SH15Fu,SH15Fu2,SH16Ex,SH16Tr,SH16Fu,SH33Ex,SH33Tr,SH34Ex,SH34Fu,SH34Ex2,SH34Ex3,SH34Tr2,SH34Tr3,SH34Fu2,SH34Fu3,SH38Ex2,SH38Tr2,SH38Fu2,SH38Ex3,SH38Fu3,SH39Ex,SH39Fu,SH42Ex,SH42Tr,SH42Fu,SH43Ex,SH43Tr,SH44Ex,SH44Tr,SH44Fu
25,1467,0,0,0,0,1090,46,34,0,1549,169,0,0,0,0,9010,966,862,37,413,110,0,0,0,0,0,0,535,3584,1458,0,0,0,0,1498,137,172,1124,13689,0,3792,844,0,0,127,2246,3682,0,156,1038,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,74,0,241,8389,388,227,0,0,34,2714,0,0,0,0,0,0,0,0,99,0,0,0,0,0,437,1253,31,0,0,0,0,0,0,0
144,1407,0,0,0,0,1266,278,30,0,117,150,6,123,42,0,533,0,861,74,243,100,0,0,0,0,0,0,372,557,2151,0,0,0,0,3963,353,74,1812,3953,0,6890,0,0,2690,0,0,3648,0,1845,565,0,0,0,16,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,42,0,207,15487,298,330,0,0,0,4107,0,0,0,0,0,0,0,0,368,0,0,0,27,0,0,385,7,0,0,0,0,0,0,0
0,0,0,0,0,0,0,73,50,0,32,12,0,2311,0,0,0,0,0,23,6,108,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7844,0,12380,13,14783,3,0,0,0,0,18,0,0,0,0,10468,8222,10114,0,11463,11938,11641,11117,0,73,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6055,9020,13244,16053,13502,13169,14898,13870
0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18973,257,1145,0,0,0,0,0
0,0,0,0,0,0,0,2,0,0,0,0,13,0,0,0,0,0,12997,0,102,378,0,0,0,0,0,0,0,0,0,0,0,0,0,726,0,0,37,0,0,10080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,717,15,9,6113,44,960,256,23,75,194,40,17,970,53,172,24,113,63,152,271,620,0,45,73,46,7,28,62,100,247,0,0,81,0,43,41,10,0,0,156,31,143,0,60,1178,1867,106,0,37,34,280,296,103,27,175,11,0,56,111,0,10012,0,0,0,13,126,56,91,4,86,94,76,106,3,214,43,468,829,0,0,0,450,37,168,169,578,85,244,74,1453,1221,0,113,85,0,23,62,26,32,45,98,140,134,37,512,113,81,97,169,142,199
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,9,0,14,0,18,0,5,10,0,0,0,0,0,0,0,0,0,3985,11227,6293,926,193,21673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,14,15,0,0,0,35
0,0,2,4,0,4628,0,0,0,0,0,0,0,0,0,0,31,0,15,0,0,0,6,241,0,69,21,529,0,0,0,24,0,3,0,33,114,0,0,0,0,0,33,0,0,0,0,9,2,42,40,0,0,2,234,0,128,0,36,0,0,0,86,45,0,0,6,0,57,19,1052,0,10,0,0,0,0,0,0,62,0,0,2,0,0,0,0,0,625,0,0,0,0,0,0,0,0,0,0,29,33,0,59,27,0,0,0,0,1,4516,0,6
5066,3425,27,4633,200,683,554,2659,4280,9269,2939,8031,2295,1066,2867,2364,23,110,1307,353,64,250,3859,987,2809,2645,5119,825,6289,191,63,2261,556,627,4205,3020,773,3865,3092,2003,522,1411,2215,3929,9197,528,159,6234,3923,2755,336,1260,1984,607,1331,463,1690,0,7783,3761,1318,280,842,0,0,2535,1000,1734,1278,2054,1268,366,798,626,297,478,1423,12,4708,4804,1475,893,5583,438,7062,331,140,2127,4196,1411,1889,6983,4656,3303,5566,2874,2066,1842,1056,150,1081,1215,347,1495,7,383,835,60,0,366,824,11
2257,644,0,0,1667,0,955,1033,0,0,785,0,0,0,28,0,247,309,295,4569,3435,206,0,0,0,0,0,0,550,594,86142,0,0,0,0,89,148,0,62,0,0,170,0,0,0,491,1068,350,0,105,0,0,0,0,0,0,34,3876,32,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,257,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,466,0,246,0,11,0,0,695,0,108,252,21,0,0,0,0
4144,466,0,0,0,0,261115,193,10,0,0,0,0,0,63,0,26,0,3852,4465,4714,5662,0,0,0,0,0,0,121,15,5425,2742,4242,0,0,5217,1403,0,83,0,0,503,87,0,262,0,0,120,0,0,5300,0,0,0,18,0,107,0,6,0,0,71,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,57,0,0,579,1977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,219,1685,16,455,0,0,0,0,0,0
1195,2407,0,0,1665,0,10871,7381,9,0,259,181,0,1294,176,0,1527,0,34622,100099,61838,22901,1321,110,0,0,0,595,86585,0,3102,18132,34168,0,0,193327,94343,3015,27517,601,0,61485,2821,0,6589,0,0,59031,1545,3802,109366,0,0,0,4286,2580,7023,84921,147,0,0,350,26170,89397,83784,842,988,525,4305,0,0,0,478,478,146,80,0,6618,1611,79797,532,0,24148,0,57,0,0,20826,0,0,377,0,2001,0,0,0,0,33,0,0,0,0,3685,14217,288,2077,0,0,0,0,0,4293
12520,71982,0,0,0,0,11553,53134,67,0,0,0,0,133,172,0,1055,0,25610,15242,14925,55850,102,0,0,0,0,0,8696,0,4773,43578,26602,0,0,27048,25837,172,11100,24255,0,7377,2774,0,7768,0,1281,1102,93,496,44517,0,0,0,2725,539,1050,31768,68,0,0,1253,12002,90011,108506,185,111,166,5314,0,0,0,998,141,0,191,62,34309,20115,8846,15055,0,68528,0,0,0,0,494,0,0,0,0,11608,0,0,0,1116,27,48,0,41,0,5493,10370,473,12905,0,347,0,0,0,0
11677,10156,0,9213,0,0,0,6730,7054,10974,6607,7077,5716,0,8516,0,0,0,4365,0,0,3379,4407,6869,9094,6810,5452,0,5884,5979,0,0,0,0,6067,0,4039,6489,0,0,0,3145,0,4778,0,0,0,5597,4921,0,0,0,0,3171,3966,0,2289,0,9665,5011,0,0,0,0,0,5989,0,3063,3227,7348,3001,2920,0,0,4403,1645,4454,0,3273,0,0,4750,5508,0,9472,0,0,0,11685,0,0,0,0,0,0,7132,0,13047,6000,0,1486,0,0,2626,0,2328,3174,0,0,0,0,0
5255,130012,0,14203,5747,0,106600,46294,203,0,115412,0,12,18580,18943,0,189528,270291,24589,28897,161095,157832,1156,178,0,0,0,482,6733,62431,13505,8327,22030,86,0,26892,9145,413,37153,20214,0,8211,13701,258,9089,153292,1775,5475,249,2815,33526,0,0,0,3244,1092,3793,39934,330,848,11735,99833,16142,44030,535806,323,292,376,10614,0,2306,0,1556,459,114,382,12795,98293,46797,33245,25161,6684,8049,0,1626,0,4659,0,47,0,4736,9650,3149,45379,85076,59,10409,0,338,0,127,50,5118,6153,8436,94952,0,335,0,0,0,24444
88,1133,0,0,0,0,1917,1895,0,0,3910,351,0,711,0,0,2846,2029,25577,7292,24775,7832,78,58,0,0,0,92,4954,1096,474,571,2526,0,0,3045,1757,44,6287,474,186,57493,635,0,571,2725,0,1975,57,570,6211,0,0,0,190,95,1472,37446,167,330,0,798,6101,26503,62044,0,0,41,343,0,136,0,37,37,0,147,0,1625,572,18637,683,477,962,0,1052,0,440,1059,0,224,334,0,106,551,0,0,731,0,0,0,0,0,648,6233,129,2171,626,0,0,36,0,391
